year,subject,type,format,fileName,pages,printedFooterTotal,paginationNote,lastQuestion,bytes,pdfSha256,sourceHwp,sourceSha256,method,verified,previousFileName
2009,reasoning,even,pdf,LEET-2009-reasoning-even.pdf,16,16,,40,1306679,79a66ef5e91820647c9957c644d381fcd948dd0d053f73315301e15f35367f0c,src/public/past-exams/2009/reasoning-even-v1.hwp,1aa7e97af0509391fef6eb84eca87f43fbf33e90c0668b00dd3d6066ce8c3c3f,Hancom Office HWP Viewer 12.31.8: Print > Save as PDF,"Preview page count, PDF parse, final question, all-page rendering, HWP unchanged",LEET-2009-reasoning-even-viewer.pdf
2009,verbal,even,pdf,LEET-2009-verbal-even.pdf,16,16,,40,1513599,80978793428013332599a7c2a266c74531f5c16adfc32222f1785a21f75f29e5,src/public/past-exams/2009/verbal-even-v1.hwp,da4b9085e77cd4fbd64bd7ee604175ddb529fa5df3c78961b8e7986e44311d3d,Hancom Office HWP Viewer 12.31.8: Print > Save as PDF,"Preview page count, PDF parse, final question, all-page rendering, HWP unchanged",LEET-2009-verbal-even-viewer.pdf
2009-preliminary,reasoning,even,pdf,LEET-2009-preliminary-reasoning-even.pdf,16,16,,40,608804,64fbb7507e4425e4284e040d65e1f545cf44c52e305338ef3883c5264f15752d,src/public/past-exams/2009-preliminary/reasoning-even-v1.hwp,e768b9be141c293a2c88cd2a6c59fdbed65ab7f1e539132ca0808686105d2346,Hancom Office HWP Viewer 12.31.8: Print > Save as PDF,"Preview page count, PDF parse, final question, all-page rendering, HWP unchanged",LEET-2009-preliminary-reasoning-even-viewer.pdf
2009-preliminary,verbal,even,pdf,LEET-2009-preliminary-verbal-even.pdf,16,16,,40,749248,35939e101e38171638b627ccc42fb543ac0ad4dbb82263a51438179d8ebde41e,src/public/past-exams/2009-preliminary/verbal-even-v1.hwp,ccd9fed1137c1056b8c6c0106c3fb94240ea0c7a5b593def96a7c5d7e6cf0959,Hancom Office HWP Viewer 12.31.8: Print > Save as PDF,"Preview page count, PDF parse, final question, all-page rendering, HWP unchanged",LEET-2009-preliminary-verbal-even-viewer.pdf
2010,reasoning,even,pdf,LEET-2010-reasoning-even.pdf,16,16,,35,950783,8cb9b0ac728006bde1e64003a99b487a48f7b1cc1da07516dbddbba2161fe61b,src/public/past-exams/2010/reasoning-even-v1.hwp,3938cbe24933f47262d6953666916e27c46d2a8dff14e9476426af2d959146bb,Hancom Office HWP Viewer 12.31.8: Print > Save as PDF,"Preview page count, PDF parse, final question, all-page rendering, HWP unchanged",LEET-2010-reasoning-even-viewer.pdf
2010,verbal,even,pdf,LEET-2010-verbal-even.pdf,15,15,,35,881498,5f41da2e71b4644b702a4bf2d1a0187230f7c2587a53bc94f7136b201159c708,src/public/past-exams/2010/verbal-even-v1.hwp,0e3b63ec1cd8fa5171102693e244d6749e5c7dbccef8091b680ab25d30510940,Hancom Office HWP Viewer 12.31.8: Print > Save as PDF,"Preview page count, PDF parse, final question, all-page rendering, HWP unchanged",LEET-2010-verbal-even-viewer.pdf
2011,reasoning,even,pdf,LEET-2011-reasoning-even.pdf,16,16,,35,802541,815084ade197cee6c113b50a25d88320e211b115b7e5585d502a93a274bbb7a0,src/public/past-exams/2011/reasoning-even-v1.hwp,90fcc381293db059af2235195aed1742c86d6c8826350ff32eaec51bdf1573e6,Hancom Office HWP Viewer 12.31.8: Print > Save as PDF,"Preview page count, PDF parse, final question, all-page rendering, HWP unchanged",LEET-2011-reasoning-even-viewer.pdf
2011,verbal,even,pdf,LEET-2011-verbal-even.pdf,15,15,,35,795100,85df31c90020e773343d39921ea2d06094bc0aa6e4fdeba212adbe7b59437087,src/public/past-exams/2011/verbal-even-v1.hwp,31e940561dce1bccf6587c75859dda2bf5e0ac226de77711b7fd21982e814c5d,Hancom Office HWP Viewer 12.31.8: Print > Save as PDF,"Preview page count, PDF parse, final question, all-page rendering, HWP unchanged",LEET-2011-verbal-even-viewer.pdf
2012,reasoning,even,pdf,LEET-2012-reasoning-even.pdf,16,16,,35,731831,6a5197964de543d2c996e15c89c4a6a7ed11b26dc4de7a2a1cb96326d1642ee5,src/public/past-exams/2012/reasoning-even-v1.hwp,ff4681cbd5d67ddeff90c7baf6082c5d8b6fdaeb2f2caa7c6db8cf910aff95fb,Hancom Office HWP Viewer 12.31.8: Print > Save as PDF,"Preview page count, PDF parse, final question, all-page rendering, HWP unchanged",LEET-2012-reasoning-even-viewer.pdf
2012,verbal,even,pdf,LEET-2012-verbal-even.pdf,15,15,,35,665434,f62ffb18ad18b88938c302fd16866b99cefd74558440175d23bad337b31f5611,src/public/past-exams/2012/verbal-even-v1.hwp,f149cd9d6f9e6d87e9a24a8f41d8a9189a7de81284dec12001149ded52885d2f,Hancom Office HWP Viewer 12.31.8: Print > Save as PDF,"Preview page count, PDF parse, final question, all-page rendering, HWP unchanged",LEET-2012-verbal-even-viewer.pdf
2013,reasoning,even,pdf,LEET-2013-reasoning-even.pdf,16,16,,35,523659,b203def990708c3d26c93e330789ccdcfb24f4aeb16bae7ec693f5db65e0e30a,src/public/past-exams/2013/reasoning-even-v1.hwp,1d7ae64e7c9cc2f4bc193e92767d036f82eb2a99fb25ea0b1ebda6da22b20211,Hancom Office HWP Viewer 12.31.8: Print > Save as PDF,"Preview page count, PDF parse, final question, all-page rendering, HWP unchanged",LEET-2013-reasoning-even-viewer.pdf
2013,verbal,even,pdf,LEET-2013-verbal-even.pdf,15,15,,35,828614,f984460046747ba0554fd877fe67ff36d4b1e3dc0a4be47f78bca9da84a045de,src/public/past-exams/2013/verbal-even-v1.hwp,f861593f79de7843ed5727de50afc4f4ea6e0fffcb660c01da52db03935bbea8,Hancom Office HWP Viewer 12.31.8: Print > Save as PDF,"Preview page count, PDF parse, final question, all-page rendering, HWP unchanged",LEET-2013-verbal-even-viewer.pdf
2014,reasoning,even,pdf,LEET-2014-reasoning-even.pdf,16,16,,35,594744,c82e3c46302ff1737a9da2f37e6c057c3c91ed84eece0e16acd5790e6119cb76,src/public/past-exams/2014/reasoning-even-v1.hwp,2c215f03c963212d5accbe03da62ba4e63e4d36e49470a57b6c9c6d10bb5d3a7,Hancom Office HWP Viewer 12.31.8: Print > Save as PDF,"Preview page count, PDF parse, final question, all-page rendering, HWP unchanged",LEET-2014-reasoning-even-viewer.pdf
2014,verbal,even,pdf,LEET-2014-verbal-even.pdf,15,15,,35,569552,972c3ff287c3eba621d672517879d7b9fb27fee0a3fcf7393179783802bc090e,src/public/past-exams/2014/verbal-even-v1.hwp,f75f0937b735e97bc6cf8c10c332418114a61cbcbf46d8471e9225988e49839b,Hancom Office HWP Viewer 12.31.8: Print > Save as PDF,"Preview page count, PDF parse, final question, all-page rendering, HWP unchanged",LEET-2014-verbal-even-viewer.pdf
2015,reasoning,even,pdf,LEET-2015-reasoning-even.pdf,16,16,,35,748459,c0100b80e52f7dc4c77672d46b6330e35d3efb2708d86b6d2703cf3e7ec3182e,src/public/past-exams/2015/reasoning-even-v1.hwp,81d78d0aec564f8ee7a9be0520d2698a248ce5fc23043bc619e3e5a298e6fd15,Hancom Office HWP Viewer 12.31.8: Print > Save as PDF,"Preview page count, PDF parse, final question, all-page rendering, HWP unchanged",LEET-2015-reasoning-even-viewer.pdf
2015,verbal,even,pdf,LEET-2015-verbal-even.pdf,16,16,,35,628088,e3e5370a79b3c4efd1cd244ca09d31495dbead8bd19bc8df8509a7cb273f3635,src/public/past-exams/2015/verbal-even-v1.hwp,50cf8f3ee75c6bbd7082b417cfcabb813e1836ab96c8080fe998df2d2e21fc0b,Hancom Office HWP Viewer 12.31.8: Print > Save as PDF,"Preview page count, PDF parse, final question, all-page rendering, HWP unchanged",LEET-2015-verbal-even-viewer.pdf
2016,reasoning,even,pdf,LEET-2016-reasoning-even.pdf,16,16,,35,898402,80ea1bbaba74f4bc980f2ca34ac3d37e6a96b1e2f92a0d845ee66fe45dbca40b,src/public/past-exams/2016/reasoning-even-v1.hwp,5a6757fbafab48081bdb65a9a8d03aec4ebf47ae78b4b1db924e8b23ab99931f,Hancom Office HWP Viewer 12.31.8: Print > Save as PDF,"Preview page count, PDF parse, final question, all-page rendering, HWP unchanged",LEET-2016-reasoning-even-viewer.pdf
2016,verbal,even,pdf,LEET-2016-verbal-even.pdf,16,16,,35,1004087,b058910df711829c0a7400a4fcd1a6651dc0f58d4b2a5c3e83d1a71c99d69e2a,src/public/past-exams/2016/verbal-even-v1.hwp,f6defa066b2f3bd806480edf2e75a4bfd8673bd356cafc6d9ed1b7e0d630dd94,Hancom Office HWP Viewer 12.31.8: Print > Save as PDF,"Preview page count, PDF parse, final question, all-page rendering, HWP unchanged",LEET-2016-verbal-even-viewer.pdf
2017,reasoning,even,pdf,LEET-2017-reasoning-even.pdf,16,16,,35,461766,15dfd21499424c9c5dce1c9f673ecb3866f0eb6da35fd5ea8b4cc9f14d69d8a1,src/public/past-exams/2017/reasoning-even-v1.hwp,9dbeba801c269a7456081c5d144a88e58481953f764105240b1ad93079fad7f9,Hancom Office HWP Viewer 12.31.8: Print > Save as PDF,"Preview page count, PDF parse, final question, all-page rendering, HWP unchanged",LEET-2017-reasoning-even-viewer.pdf
2017,verbal,even,pdf,LEET-2017-verbal-even.pdf,16,16,,35,1275546,91016d72c41d98e7da6e44d0a18ca10e7ffc97ac9b7a96e97d92fad74584d10f,src/public/past-exams/2017/verbal-even-v1.hwp,3ae1167b7918653bee07bcdbe8f8239f74f7346d1ca427abad326dd6687c727b,Hancom Office HWP Viewer 12.31.8: Print > Save as PDF,"Preview page count, PDF parse, final question, all-page rendering, HWP unchanged",LEET-2017-verbal-even-viewer.pdf
2018,reasoning,even,pdf,LEET-2018-reasoning-even.pdf,16,16,,35,488504,d940a71e3a3e168d4f37822d3ff5e81852ff2fdbd4552a17cf06adc713b4d586,src/public/past-exams/2018/reasoning-even-v1.hwp,fbe8be6bbf5d97fa821bcb8b89d0e1e7e031fa4d9500c0aca6301e504a754e43,Hancom Office HWP Viewer 12.31.8: Print > Save as PDF,"Preview page count, PDF parse, final question, all-page rendering, HWP unchanged",LEET-2018-reasoning-even-viewer.pdf
2018,verbal,even,pdf,LEET-2018-verbal-even.pdf,16,16,,35,783054,791aafe538e27e6d036561d952e09f37ad53e3fe3a38bda89fa3d5cb9f45a517,src/public/past-exams/2018/verbal-even-v1.hwp,0efc0b5fbd2a385d13e463e616c1664e986201281898b123debec5dfd250bf34,Hancom Office HWP Viewer 12.31.8: Print > Save as PDF,"Preview page count, PDF parse, final question, all-page rendering, HWP unchanged",LEET-2018-verbal-even-viewer.pdf
2019,reasoning,even,pdf,LEET-2019-reasoning-even.pdf,21,20,Viewer prints 21 pages while the document footer retains 20,40,605136,0c7e0199bf41650439f31d7e236d7c1814c34f40f2cef6cd4d6faf4466d2d4e2,src/public/past-exams/2019/reasoning-even-v1.hwp,e135421ef67972a3a3be55333446f02e46f45a6a29e2ec207d80fa47950775c3,Hancom Office HWP Viewer 12.31.8: Print > Save as PDF,"Preview page count, PDF parse, final question, all-page rendering, HWP unchanged",LEET-2019-reasoning-even-viewer.pdf
2019,verbal,even,pdf,LEET-2019-verbal-even.pdf,15,15,,30,1482001,0eb4e29d51adebe6318fb8e9e1acc9881e4d9f8427eec1dc16d0df73027f5caf,src/public/past-exams/2019/verbal-even-v1.hwp,5f260b57df64ed2c7b44c5f197b39b69fbad3fe31a531647b3919a9cdd385298,Hancom Office HWP Viewer 12.31.8: Print > Save as PDF,"Preview page count, PDF parse, final question, all-page rendering, HWP unchanged",LEET-2019-verbal-even-viewer.pdf
2020,reasoning,even,pdf,LEET-2020-reasoning-even.pdf,21,20,Viewer prints 21 pages while the document footer retains 20,40,794979,7d10087e2d9e7a4c5431586b3d6bd7479cec705f00fc0f958dbf5d54ddf0b4ea,src/public/past-exams/2020/reasoning-even-v1.hwp,2be49eee775b245b52deea12331333f7fece2be93892a1d6b54944a3911e48f0,Hancom Office HWP Viewer 12.31.8: Print > Save as PDF,"Preview page count, PDF parse, final question, all-page rendering, HWP unchanged",LEET-2020-reasoning-even-viewer.pdf
2020,verbal,even,pdf,LEET-2020-verbal-even.pdf,15,15,,30,815144,aaa994b9f6983c55329cc4b7ee0b9f49ca0531f26d57627e4d3d5816021c1d3c,src/public/past-exams/2020/verbal-even-v1.hwp,6b207e583f7f5ee7af6339e53433a926767fc704043af458449d5a1ad54b2f5c,Hancom Office HWP Viewer 12.31.8: Print > Save as PDF,"Preview page count, PDF parse, final question, all-page rendering, HWP unchanged",LEET-2020-verbal-even-viewer.pdf
2021,reasoning,even,pdf,LEET-2021-reasoning-even.pdf,21,20,Viewer prints 21 pages while the document footer retains 20,40,562782,bdeb8535124b0b612323aec0640dc76109481b20d294e14923212987e5078bce,src/public/past-exams/2021/reasoning-even-v1.hwp,b1019aedf92f0b12f5edb672f2f30f16fcfe93bb67157640edefe92020061e21,Hancom Office HWP Viewer 12.31.8: Print > Save as PDF,"Preview page count, PDF parse, final question, all-page rendering, HWP unchanged",LEET-2021-reasoning-even-viewer.pdf
2021,verbal,even,pdf,LEET-2021-verbal-even.pdf,15,15,,30,679019,c79c1f79444c21d57fc9817cf9825709d87d3efabc8fbe7a9676d4e6ae4d45a7,src/public/past-exams/2021/verbal-even-v1.hwp,4c9e2621763b670a8856295b2b24a122a597af46d619c10386d23664d1d0dcc1,Hancom Office HWP Viewer 12.31.8: Print > Save as PDF,"Preview page count, PDF parse, final question, all-page rendering, HWP unchanged",LEET-2021-verbal-even-viewer.pdf
