year,subject,examType,fileName,origin,sourcePath,sourceUrl,sha256,bytes,previousPdfFileName
09예비,verbal,odd,LEET-2009-preliminary-verbal-odd.pdf,Downloaded PDF,src/public/past-exams/2009-preliminary/verbal-odd-v1.pdf,https://suomessa.tistory.com/141,1a6f2556454ddfb8ed926fd36c736883e7fe062ae96920da1d75bc79fe32f023,8561340,
09예비,verbal,even,LEET-2009-preliminary-verbal-even.pdf,HWP converted using Hancom Viewer,src/public/past-exams/2009-preliminary/verbal-even-v1.hwp,https://leet.uwayapply.com/board/BoardView.htm?board_id=84&page=6&select=&key=&jjubi=&admin_id=&board_seqnum=23011&row_number=60,35939e101e38171638b627ccc42fb543ac0ad4dbb82263a51438179d8ebde41e,749248,LEET-2009-preliminary-verbal-even-viewer.pdf
09예비,reasoning,odd,LEET-2009-preliminary-reasoning-odd.pdf,Downloaded PDF,src/public/past-exams/2009-preliminary/reasoning-odd-v1.pdf,https://suomessa.tistory.com/141,3c4bd946e512170b111839a1424d866066e9e78992d8f47da117d0ce6d6eda31,8662734,
09예비,reasoning,even,LEET-2009-preliminary-reasoning-even.pdf,HWP converted using Hancom Viewer,src/public/past-exams/2009-preliminary/reasoning-even-v1.hwp,https://leet.uwayapply.com/board/BoardView.htm?board_id=84&page=6&select=&key=&jjubi=&admin_id=&board_seqnum=23013&row_number=59,64fbb7507e4425e4284e040d65e1f545cf44c52e305338ef3883c5264f15752d,608804,LEET-2009-preliminary-reasoning-even-viewer.pdf
2009,verbal,odd,LEET-2009-verbal-odd.pdf,Downloaded PDF,src/public/past-exams/2009/verbal-odd-v1.pdf,https://leet-calculator.site/exams/2009/,57c66e117ff8f8fd38eafce59355d4be103111c6bb0fa3390a009c41074a3d73,8975026,
2009,verbal,even,LEET-2009-verbal-even.pdf,HWP converted using Hancom Viewer,src/public/past-exams/2009/verbal-even-v1.hwp,https://leet.uwayapply.com/board/BoardView.htm?board_id=84&page=6&select=&key=&jjubi=&admin_id=&board_seqnum=23019&row_number=57,80978793428013332599a7c2a266c74531f5c16adfc32222f1785a21f75f29e5,1513599,LEET-2009-verbal-even-viewer.pdf
2009,reasoning,odd,LEET-2009-reasoning-odd.pdf,Downloaded PDF,src/public/past-exams/2009/reasoning-odd-v1.pdf,https://leet-calculator.site/exams/2009/,d142a45f098999f1a6a78437a2677c00f4a20e11abd684bb8af5b3abc73a0072,9372300,
2009,reasoning,even,LEET-2009-reasoning-even.pdf,HWP converted using Hancom Viewer,src/public/past-exams/2009/reasoning-even-v1.hwp,https://leet.uwayapply.com/board/BoardView.htm?board_id=84&page=6&select=&key=&jjubi=&admin_id=&board_seqnum=23020&row_number=56,79a66ef5e91820647c9957c644d381fcd948dd0d053f73315301e15f35367f0c,1306679,LEET-2009-reasoning-even-viewer.pdf
2010,verbal,odd,LEET-2010-verbal-odd.pdf,Downloaded PDF,src/public/past-exams/2010/verbal-odd-v1.pdf,https://leet-calculator.site/exams/2010/,3efebb4681bf72b8da79d71c3893a8521e644ad39a89c770538b2dbde2f29110,8362117,
2010,verbal,even,LEET-2010-verbal-even.pdf,HWP converted using Hancom Viewer,src/public/past-exams/2010/verbal-even-v1.hwp,https://leet.uwayapply.com/board/BoardView.htm?board_id=84&page=6&select=&key=&jjubi=&admin_id=&board_seqnum=25576&row_number=54,5f41da2e71b4644b702a4bf2d1a0187230f7c2587a53bc94f7136b201159c708,881498,LEET-2010-verbal-even-viewer.pdf
